SHAP_Observation,Original_Test_Index,Local_Spearman,Local_Cosine
111,609,0.9510489510489512,0.955617699941599
112,610,0.9020979020979022,0.7599606228452804
113,613,0.7272727272727274,0.7892993490205625
114,617,0.7832167832167832,0.875679712658321
115,628,0.8391608391608393,0.9348154005606069
116,631,0.7412587412587414,0.8413086723812676
117,637,0.7622377622377624,0.7996076047099273
118,650,0.8461538461538463,0.8016957211700335
119,651,0.9020979020979022,0.8967176244096452
120,654,0.9160839160839163,0.901018547813261
121,660,0.9720279720279721,0.941339735785887
122,680,0.965034965034965,0.9105829393419942
123,693,0.9230769230769231,0.8065934144993502
124,705,0.9510489510489512,0.9264383961458154
125,710,0.8461538461538463,0.8599803637059742
126,720,0.9230769230769231,0.8259664396939655
127,721,0.8671328671328673,0.974854513640702
128,733,0.6293706293706295,0.8617987236456999
129,736,0.8601398601398602,0.981368135855981
130,741,0.8531468531468532,0.9120769746834595
131,756,0.9020979020979022,0.8629464986680193
132,757,0.8741258741258742,0.9282566585562932
133,764,0.8181818181818183,0.9864936726622673
134,771,0.8321678321678322,0.9643396659941416
135,777,0.8391608391608393,0.8423521506734382
136,778,0.8111888111888113,0.8805995959307071
137,780,0.8041958041958043,0.7415072571383255
138,781,0.7412587412587414,0.9617881913924807
139,782,0.8041958041958043,0.9523868719575357
140,798,0.965034965034965,0.9678422595817425
141,799,0.8251748251748254,0.9509799769492057
142,816,0.965034965034965,0.9705292499004214
143,817,0.9230769230769231,0.939943982710979
144,824,0.8321678321678322,0.8849917206961667
145,838,0.8671328671328673,0.9667773393388269
146,842,0.7202797202797203,0.9033080656760125
147,846,0.9090909090909092,0.9836270703536529
148,857,0.8811188811188813,0.9204342767971015
149,867,0.9440559440559443,0.9798337493645876
150,869,0.6153846153846154,0.8020603964818444
151,886,0.8111888111888113,0.8877211755788247
152,889,0.8461538461538463,0.9133457509537709
153,893,0.7762237762237763,0.8759615528444534
154,904,0.9720279720279721,0.9860411136678907
155,914,0.8881118881118882,0.8711702613296477
156,926,0.7272727272727274,0.9595449685112847
157,936,0.9160839160839163,0.9419124731703981
158,939,0.8181818181818183,0.860325076185323
159,941,0.8671328671328673,0.9273108080078714
160,943,0.8881118881118882,0.8099307302879404
161,946,0.9090909090909092,0.9597338899544082
162,952,0.8251748251748254,0.9373663978382455
163,965,0.8741258741258742,0.9745523531252838
164,988,0.9300699300699302,0.9736721628337794
165,994,0.9720279720279721,0.9691803517304968
166,1004,0.8671328671328673,0.789988250091844
167,1009,0.8181818181818183,0.9669367431857601
168,1018,0.8741258741258742,0.8287195982338483
169,1033,0.9020979020979022,0.9328890127791787
170,1034,0.9580419580419581,0.9439219275370079
171,1043,0.9020979020979022,0.9728710850947644
172,1061,0.9090909090909092,0.9086943935477559
173,1073,0.9580419580419581,0.8714394287688025
174,1074,0.8951048951048951,0.9271765340292821
175,1079,0.8811188811188813,0.6022200464360974
176,1084,0.9090909090909092,0.8840282969702985
177,1106,0.8111888111888113,0.9392372750344039
178,1108,0.965034965034965,0.9226628504661077
179,1110,0.9090909090909092,0.8753683136972547
180,1111,0.8881118881118882,0.9250751557807678
181,1113,0.9020979020979022,0.9358845590724032
182,1114,0.9020979020979022,0.947079980216474
183,1117,0.8811188811188813,0.9477904031032175
184,1132,0.7902097902097903,0.8551337732581605
185,1137,0.9090909090909092,0.9732855220695182
186,1138,0.9300699300699302,0.979266963798092
187,1140,0.9510489510489512,0.9464024519213958
188,1142,1.0,0.9257284786182682
189,1145,0.9230769230769231,0.9788432666957207
190,1146,0.8741258741258742,0.9743458923100798
191,1151,0.8881118881118882,0.972113185305244
192,1168,0.9580419580419581,0.9309278333802344
193,1169,0.7972027972027973,0.9216640087996394
194,1177,0.9370629370629372,0.9301221177395192
195,1178,0.8811188811188813,0.9425144845747508
196,1182,0.7622377622377624,0.9589320190506151
197,1190,0.8461538461538463,0.8787712212752392
198,1197,0.9230769230769231,0.9369364674502678
199,1204,0.9230769230769231,0.6629563224846724
200,1208,0.9020979020979022,0.9894403690048242
201,1211,0.8531468531468532,0.9455980047407146
202,1220,0.6643356643356644,0.8269256520388225
203,1226,0.8601398601398602,0.9410947675925037
204,1235,0.8531468531468532,0.931299183662009
205,1240,0.5594405594405596,0.9791619806720621
206,1249,0.6503496503496504,0.7649268955253625
207,1253,0.8251748251748254,0.85851393709317
208,1255,0.8181818181818183,0.9485751977718273
209,1258,0.8671328671328673,0.8957898961008809
210,1262,0.9370629370629372,0.9011266386062525
211,1268,0.9090909090909092,0.7797218471602886
212,1271,0.8671328671328673,0.8964666060313156
213,1278,0.6153846153846154,0.5249604560033073
214,1284,0.9440559440559443,0.9286902022911675
215,1296,0.9790209790209792,0.9899529236291967
216,1309,0.8601398601398602,0.8571955609955346
217,1310,0.9090909090909092,0.9103524266331273
218,1317,0.9230769230769231,0.9546472140715924
219,1320,0.8461538461538463,0.9683540118101134
220,1328,0.6223776223776225,0.9788820468905887
221,1334,0.8321678321678322,0.9160587466884695
222,1339,0.8951048951048951,0.7961105850525997
223,1345,0.8601398601398602,0.9189489974353475
224,1347,0.8251748251748254,0.8004073652814854
225,1361,0.8041958041958043,0.9338357569579957
226,1366,0.9090909090909092,0.9197057607211809
227,1378,0.8881118881118882,0.9505609721935926
228,1379,0.9370629370629372,0.9250198236502821
229,1385,0.7902097902097903,0.923818820949601
230,1391,0.8881118881118882,0.9402458710745194
231,1393,0.7972027972027973,0.9381898430496662
232,1417,0.9370629370629372,0.9151421856657078
233,1421,0.8461538461538463,0.9637235810394831
234,1424,0.6993006993006995,0.9514909637203961
235,1435,0.5664335664335665,0.9783556397756866
236,1436,0.5524475524475525,0.9093569077152742
237,1457,0.7412587412587414,0.7066114613082629
238,1458,0.7832167832167832,0.9030917375517526
239,1460,0.8601398601398602,0.8569924356901897
240,1468,0.965034965034965,0.9661140819264888
241,1471,0.8391608391608393,0.9257408422983523
242,1477,0.8111888111888113,0.8103693621464951
243,1480,0.6573426573426573,0.8820359015950643
244,1481,0.8461538461538463,0.7884745742541046
245,1487,0.46153846153846156,0.9112905729184435
246,1489,0.9230769230769231,0.9787077028997668
247,1491,0.6713286713286714,0.8901396986757087
248,1497,0.965034965034965,0.877336347028203
249,1501,0.8741258741258742,0.9270805415583181
250,1505,0.8041958041958043,0.911971929148321
251,1519,0.9160839160839163,0.9478181379534265
252,1527,0.8321678321678322,0.9510746885695954
253,1530,0.9020979020979022,0.929238432025954
254,1531,0.9160839160839163,0.9226971825926571
255,1539,0.9090909090909092,0.8885467350809668
256,1540,0.8951048951048951,0.9769460761501549
257,1543,0.9440559440559443,0.9604178229397908
258,1544,0.9020979020979022,0.9776549322338809
259,1552,0.8881118881118882,0.8160027323769327
260,1555,0.965034965034965,0.8143712148142873
261,1556,0.8321678321678322,0.9582648843222754
262,1561,0.9090909090909092,0.9653286994253507
263,1565,0.8251748251748254,0.9815604010384982
264,1573,0.8531468531468532,0.8495314573274106
265,1587,0.9370629370629372,0.9570950922174468
266,1588,0.8601398601398602,0.8924382225659393
267,1593,0.9510489510489512,0.9399705626599841
268,1600,0.9510489510489512,0.9492899353769112
269,1610,0.9370629370629372,0.9221219557207491
270,1611,0.8321678321678322,0.9326514781177035
271,1618,0.9230769230769231,0.9015230170244555
272,1619,0.6573426573426573,0.863063609519683
273,1627,0.5524475524475525,0.8695508036081824
274,1641,0.9230769230769231,0.9208653219170625
275,1642,0.8321678321678322,0.9499592749488822
276,1644,0.9090909090909092,0.9209209632557939
277,1657,0.6643356643356644,0.9091095919641669
278,1662,0.7412587412587414,0.9437073631448017
279,1667,0.965034965034965,0.9246927878801406
280,1676,0.8671328671328673,0.9097527335949163
281,1682,0.8111888111888113,0.7900791979440308
282,1691,0.6923076923076924,0.9415437506987443
283,1701,0.7552447552447553,0.9236423931682255
284,1709,0.7692307692307694,0.9126588341958604
285,1712,0.9580419580419581,0.9632451288312643
286,1715,0.7832167832167832,0.922218893798086
287,1719,0.965034965034965,0.9728592591547311
288,1720,0.8671328671328673,0.8157796240320407
289,1723,0.9300699300699302,0.9772150863680817
290,1733,0.9230769230769231,0.8956936312441471
291,1736,0.6503496503496504,0.2379071915393921
292,1738,0.8811188811188813,0.9452201279722152
293,1743,0.6083916083916086,0.9706045055575946
294,1747,0.965034965034965,0.9100585569120476
295,1757,0.7972027972027973,0.9312815777648494
296,1758,0.7272727272727274,0.9341579544577041
297,1759,0.9300699300699302,0.9525359447194198
298,1777,0.7412587412587414,0.9106558465015622
299,1780,0.9510489510489512,0.9532908899311382
