model,fold,accuracy_no_smote,precision_no_smote,recall_no_smote,specificity_no_smote,f1_no_smote,mcc_no_smote,roc_auc_no_smote,pr_auc_no_smote,accuracy_smote,precision_smote,recall_smote,specificity_smote,f1_smote,mcc_smote,roc_auc_smote,pr_auc_smote,accuracy_difference,precision_difference,recall_difference,specificity_difference,f1_difference,mcc_difference,roc_auc_difference,pr_auc_difference
LGBM,1,0.7854137447405329,0.5524475524475524,0.2461059190031152,0.9420814479638008,0.3405172413793103,0.2616632758321578,0.6799664509944884,0.4296350868744286,0.7798036465638148,0.5191256830601093,0.2959501557632398,0.9203619909502262,0.376984126984127,0.2701179551532931,0.6786583217039512,0.4226369269344412,-0.005610098176718092,-0.03332186938744308,0.04984423676012459,-0.021719457013574583,0.0364668856048167,0.008454679321135306,-0.0013081292905371411,-0.0069981599399873695
LGBM,2,0.776140350877193,0.5035971223021583,0.21875,0.9375565610859729,0.3050108932461873,0.2198393604728545,0.6627870475113122,0.3915769348935309,0.7740350877192983,0.4944444444444444,0.278125,0.9176470588235294,0.356,0.2459155027701929,0.6823670814479639,0.4114967586423025,-0.002105263157894721,-0.009152677857713842,0.05937500000000001,-0.01990950226244348,0.050989106753812685,0.0260761422973384,0.019580033936651642,0.019919823748771603
LGBM,3,0.7747368421052632,0.4964539007092198,0.21875,0.9357466063348416,0.3036876355748373,0.2159150942400379,0.6628676470588235,0.3742850277453315,0.7642105263157895,0.4607843137254901,0.29375,0.9004524886877828,0.3587786259541984,0.2313864928790235,0.6750169683257918,0.4086413867365905,-0.010526315789473717,-0.035669586983729684,0.07500000000000001,-0.03529411764705881,0.055090990379361104,0.015471398638985584,0.012149321266968327,0.034356358991258995
LGBM,4,0.767719298245614,0.4652777777777778,0.2087227414330218,0.9302536231884058,0.2881720430107526,0.1926292302040552,0.6781499729107409,0.3838466260357742,0.7789473684210526,0.515,0.3208722741433021,0.9121376811594204,0.3953934740882917,0.2802389436667181,0.6841716894667931,0.4179599568244904,0.011228070175438587,0.04972222222222222,0.1121495327102803,-0.018115942028985366,0.10722143107753906,0.08760971346266289,0.0060217165560522146,0.0341133307887162
LGBM,5,0.7810526315789473,0.5333333333333333,0.2242990654205607,0.9429347826086956,0.3157894736842105,0.2385610273844,0.6669333265610187,0.4081458793517143,0.7592982456140351,0.4414893617021276,0.2585669781931464,0.904891304347826,0.3261296660117878,0.2017809720810842,0.681672987493792,0.4213807313917787,-0.021754385964912193,-0.09184397163120572,0.0342679127725857,-0.03804347826086951,0.010340192327577269,-0.036780055303315795,0.014739660932773346,0.01323485204006436
MLP,1,0.7931276297335204,0.6444444444444445,0.1806853582554517,0.9710407239819004,0.2822384428223844,0.2605970021323622,0.687944911969101,0.4446258001380111,0.6886395511921458,0.3525179856115107,0.4579439252336448,0.755656108597285,0.3983739837398374,0.1961197639015169,0.6078671008302674,0.3900390338545958,-0.10448807854137454,-0.2919264588329338,0.27725856697819307,-0.2153846153846154,0.11613554091745298,-0.06447723823084531,-0.08007781113883361,-0.0545867662834153
MLP,2,0.7852631578947369,0.5625,0.196875,0.9556561085972852,0.2916666666666667,0.2365228919872852,0.6946436651583711,0.4309176028485842,0.7003508771929825,0.3685503685503685,0.46875,0.7674208144796381,0.4126547455295736,0.2181781535091191,0.6435237556561085,0.3978352401513806,-0.08491228070175438,-0.1939496314496315,0.271875,-0.18823529411764717,0.12098807886290691,-0.018344738478166117,-0.05111990950226253,-0.033082362697203604
MLP,3,0.7726315789473684,0.4833333333333333,0.18125,0.943891402714932,0.2636363636363636,0.1880447738546512,0.6527319004524886,0.3681058470434601,0.6926315789473684,0.3439153439153439,0.40625,0.7755656108597285,0.3724928366762177,0.1718573286486713,0.6379015837104073,0.3763579844645269,-0.08000000000000007,-0.13941798941798939,0.225,-0.16832579185520347,0.10885647303985407,-0.016187445205979922,-0.01483031674208135,0.008252137421066785
MLP,4,0.7894736842105263,0.5929203539823009,0.2087227414330218,0.9583333333333334,0.3087557603686636,0.2582814324809965,0.69617279561154,0.4276038025692984,0.6870175438596491,0.3589164785553047,0.4953271028037383,0.7427536231884058,0.4162303664921466,0.214883804271568,0.6389693101268681,0.3741429371606544,-0.10245614035087725,-0.23400387542699624,0.28660436137071654,-0.2155797101449276,0.10747460612348303,-0.043397628209428496,-0.05720348548467191,-0.05346086540864403
MLP,5,0.7894736842105263,0.6206896551724138,0.1682242990654205,0.970108695652174,0.2647058823529412,0.2413654751197224,0.6919908912366246,0.4276004282294897,0.6771929824561403,0.3333333333333333,0.4330218068535825,0.7481884057971014,0.3766937669376693,0.1663877807995829,0.621903076888347,0.3676426441250092,-0.11228070175438598,-0.2873563218390805,0.264797507788162,-0.2219202898550725,0.11198788458472814,-0.07497769432013948,-0.0700878143482776,-0.059957784104480494
