test_index,Model_A,Model_B,Local_Spearman_rho,Local_Spearman_p_value,Local_Cosine_similarity
76,LGBM,MLP,0.21688311688311687,0.3450003269824448,0.5609029018295572
78,RF,XGB,0.487012987012987,0.02515075825591802,0.8877816523168905
78,RF,LGBM,0.6454545454545455,0.0015778975857754145,0.5964141135937755
78,RF,MLP,0.20909090909090908,0.36302566515631635,0.31518863912428696
78,XGB,LGBM,0.6103896103896104,0.0032965720706862613,0.6766524870591103
78,XGB,MLP,0.40389610389610386,0.06939949544788349,0.488535968016928
78,LGBM,MLP,0.2662337662337662,0.2433987795806379,0.702604729945209
99,RF,XGB,0.3363636363636363,0.135996753010022,-0.2969462018912905
99,RF,LGBM,0.03636363636363636,0.8756496301383223,-0.05259583007280007
99,RF,MLP,-0.18051948051948052,0.433594674982858,0.06120586954124805
99,XGB,LGBM,0.5285714285714286,0.013763170931280443,0.7748744145422338
99,XGB,MLP,-0.44935064935064933,0.04099667350688651,-0.381269563483982
99,LGBM,MLP,-0.2675324675324675,0.24102003675627295,-0.42968711067434806
109,RF,XGB,0.4896103896103896,0.024270522021007424,0.2539743208324966
109,RF,LGBM,0.35194805194805195,0.11767322930096195,0.4733476383988411
109,RF,MLP,-0.08831168831168833,0.7034559950013928,0.056978632001263047
109,XGB,LGBM,0.015584415584415586,0.9465439560865643,-0.12300072004554852
109,XGB,MLP,-0.2961038961038961,0.19247618519439216,-0.4090083676488488
109,LGBM,MLP,-0.3246753246753247,0.15100567594389833,-0.0528406865576549
111,RF,XGB,0.464935064935065,0.033699231028965625,0.29570184224310603
111,RF,LGBM,0.32727272727272727,0.14757448251475364,0.6450417943911709
111,RF,MLP,0.24415584415584415,0.286152904374841,0.1880019128982456
111,XGB,LGBM,0.42207792207792205,0.056659249673108106,0.7504802120283466
111,XGB,MLP,0.13116883116883118,0.5708891960684089,0.02101974485532354
111,LGBM,MLP,0.44415584415584414,0.04368428298320847,0.22697944163031855
115,RF,XGB,0.6727272727272726,0.0008333435326227536,0.889692342387116
115,RF,LGBM,0.6038961038961038,0.0037439776277835356,0.5130409305469834
115,RF,MLP,0.08571428571428572,0.7118136961291482,0.1708870014335242
115,XGB,LGBM,0.6363636363636362,0.0019262960071318917,0.5819485496069848
115,XGB,MLP,0.3818181818181818,0.08764053578453823,0.49299152164689014
115,LGBM,MLP,0.13896103896103898,0.5480180624883647,0.6180623551980663
123,RF,XGB,0.5662337662337662,0.007452803836674509,0.9290211030175046
123,RF,LGBM,0.7467532467532467,0.0001007733771013491,0.7286986871833412
123,RF,MLP,-0.12987012987012986,0.5747411951907224,0.2898671914144829
123,XGB,LGBM,0.7727272727272727,4.027735878701309e-05,0.8211772838471467
123,XGB,MLP,0.24545454545454545,0.28351670883126684,0.5381457768552765
123,LGBM,MLP,0.11428571428571428,0.6218181517971056,0.7702022655685401
124,RF,XGB,0.8220779220779221,4.842313369757495e-06,0.71915752437032
124,RF,LGBM,0.838961038961039,2.0139708710192916e-06,0.8156242503886689
124,RF,MLP,0.15844155844155844,0.49273603731315235,0.5412320591080916
124,XGB,LGBM,0.7857142857142857,2.433195084542448e-05,0.9731672989241102
124,XGB,MLP,0.15324675324675324,0.5072039302125892,0.8689392163175118
124,LGBM,MLP,0.22207792207792207,0.3332805195945379,0.8211421278172231
135,RF,XGB,0.4948051948051948,0.022583594997581564,0.7244824202753148
135,RF,LGBM,0.48441558441558447,0.026056161788623734,0.5484474763024134
135,RF,MLP,0.18441558441558442,0.42356621430502056,0.3912388759822798
135,XGB,LGBM,0.13896103896103898,0.5480180624883647,0.46301389737826787
135,XGB,MLP,0.4324675324675325,0.05022991747689417,0.358007231508862
135,LGBM,MLP,0.11038961038961038,0.6338228017857539,0.5707535549043524
162,RF,XGB,0.751948051948052,8.462836509502957e-05,0.7039088873032904
162,RF,LGBM,0.8064935064935065,1.0075535527922034e-05,0.7736748186900859
162,RF,MLP,0.12467532467532469,0.590260853646067,0.1265697555616072
162,XGB,LGBM,0.8220779220779221,4.842313369757495e-06,0.8979851898791958
162,XGB,MLP,0.37922077922077924,0.08999962703369178,0.21861178865543043
162,LGBM,MLP,0.24155844155844156,0.291470754429199,0.3069864758170745
168,RF,XGB,0.46753246753246747,0.0325891251017163,0.25389625626037804
168,RF,LGBM,0.6324675324675325,0.002094285916756489,0.5716373967873409
168,RF,MLP,-0.05584415584415584,0.8099992137199937,0.2124746709900282
168,XGB,LGBM,0.3311688311688311,0.14253086581850202,0.05623171159842456
168,XGB,MLP,0.125974025974026,0.5863643592427876,0.2379310246753501
168,LGBM,MLP,-0.2038961038961039,0.37533722290245836,0.16482986029498853
173,RF,XGB,0.4194805194805195,0.05836062913446332,0.46660900296330793
173,RF,LGBM,0.2909090909090909,0.2007676414411941,0.6303038949286767
173,RF,MLP,0.025974025974025972,0.9110154373730976,0.5867464524849237
173,XGB,LGBM,0.40649350649350646,0.06745818431180065,0.45440776069141603
173,XGB,MLP,0.2935064935064935,0.19659251726168667,0.6439055210657771
173,LGBM,MLP,-0.07532467532467534,0.7455550758529895,0.6920746114538391
185,RF,XGB,0.6051948051948052,0.003650666447832699,0.9187801184857312
185,RF,LGBM,0.7376623376623377,0.00013547414981215296,0.8728815845041975
185,RF,MLP,-0.13636363636363635,0.5555953559520419,0.010870992891743153
185,XGB,LGBM,0.6519480519480519,0.0013629842048795116,0.8905301764340545
185,XGB,MLP,-0.20909090909090908,0.36302566515631635,-0.1684209953118106
185,LGBM,MLP,-0.28051948051948056,0.21806007395025545,-0.28091215656944774
188,RF,XGB,0.5454545454545454,0.010543755916837693,0.7172941954131197
188,RF,LGBM,0.4402597402597402,0.0457880777293722,0.8407971640024948
188,RF,MLP,0.06363636363636363,0.7840544504932396,0.6470606149163297
188,XGB,LGBM,0.4116883116883117,0.06369892951455675,0.7709407053330765
188,XGB,MLP,0.24025974025974026,0.29415239923972397,0.6355798631568292
188,LGBM,MLP,-0.11948051948051949,0.6059550557298753,0.8205203986973131
196,RF,XGB,0.487012987012987,0.02515075825591802,0.8732289242402469
196,RF,LGBM,0.587012987012987,0.005149313814572183,0.5958471478166673
196,RF,MLP,0.04025974025974026,0.8624424916554133,0.29986155036645207
196,XGB,LGBM,0.512987012987013,0.017401319733001772,0.6913570113265437
196,XGB,MLP,0.06493506493506493,0.7797509033508971,0.4854858567941431
196,LGBM,MLP,0.07402597402597402,0.7498058787122429,0.6900690274583914
203,RF,XGB,0.18051948051948052,0.433594674982858,-0.4145487813612921
203,RF,LGBM,0.3675324675324675,0.10119902708769574,0.14013964178468355
203,RF,MLP,0.08961038961038961,0.6992893846688304,0.0984078114450097
203,XGB,LGBM,0.6727272727272726,0.0008333435326227536,0.5883993246492553
203,XGB,MLP,-0.10909090909090909,0.637844297226886,-0.3563669606149158
203,LGBM,MLP,-0.13376623376623376,0.5632192812726847,-0.30322607423040543
210,RF,XGB,0.8545454545454545,8.164386807008872e-07,0.7545265094604766
210,RF,LGBM,0.8285714285714286,3.494265356687368e-06,0.8220923489425388
210,RF,MLP,0.34935064935064936,0.12059625789406855,0.6336153583456916
210,XGB,LGBM,0.8168831168831169,6.228850108065046e-06,0.9840224719244639
210,XGB,MLP,0.38831168831168833,0.08194343705246764,0.7245632088979961
210,LGBM,MLP,0.5285714285714286,0.013763170931280443,0.7813031706488603
212,RF,XGB,0.5142857142857142,0.017071353141816504,0.6515774022200973
