Model,Repetition,Feature,Mean_Absolute_SHAP,Normalized_SHAP
RF,2,iv(g),0.032430875632373804,0.1409705423026274
RF,2,n,0.005833369913894579,0.025356494518842514
RF,2,v,0.005816241276789447,0.02528203975268119
RF,2,l,0.006139193079483712,0.026685846769164433
RF,2,d,0.009397464381441161,0.040848901680562426
RF,2,i,0.0146203315189927,0.06355166250334567
RF,2,e,0.006009281965198964,0.02612114908910617
RF,2,b,0.005539752691586608,0.024080199067330645
RF,2,t,0.0060969155646411494,0.026502074851868
RF,2,lOCode,0.009961434763673924,0.04330036834853637
RF,2,lOComment,0.004416939486050144,0.019199554206449317
RF,2,lOBlank,0.012240188211696297,0.05320565468687452
RF,2,locCodeAndComment,0.0012139871217155625,0.00527695967375649
RF,2,uniq_Op,0.005895348662530394,0.025625903766544333
RF,2,uniq_Opnd,0.01050256601598783,0.04565255787805502
RF,2,total_Op,0.010225222026759876,0.04444699892216885
RF,2,total_Opnd,0.005709128509101028,0.024816441934116633
RF,2,branchCount,0.010799261245672194,0.046942232813179365
XGB,2,loc,0.35649311315695137,0.4507426208228162
XGB,2,v(g),0.024232736953514782,0.030639378324619323
XGB,2,ev(g),0.08419269461533986,0.10645152577841127
XGB,2,iv(g),0.17092603595306477,0.2161153934505874
XGB,2,n,0.0008602096298394221,0.0010876315101216007
XGB,2,v,0.000642350703443905,0.0008121751272940112
XGB,2,l,0.00153244279907085,0.0019375894176394367
XGB,2,d,0.027901812433847227,0.035278482523172706
XGB,2,i,0.018760121404193343,0.023719914849960777
XGB,2,e,0.014828391564272654,0.01874871583655126
XGB,2,b,0.002939017371584972,0.003716033616976938
XGB,2,t,0.003164521744668794,0.004001156746651698
XGB,2,lOCode,0.0022209001297596844,0.002808060823976938
XGB,2,lOComment,0.00582941257157169,0.007370590351940044
XGB,2,lOBlank,0.004619767866485442,0.005841140260165147
XGB,2,locCodeAndComment,0.0001095767438406862,0.00013854659985601517
XGB,2,uniq_Op,0.004230693550925935,0.005349202631589065
XGB,2,uniq_Opnd,0.018611676022507406,0.02353222353722368
XGB,2,total_Op,0.01462740183895221,0.018494588527478928
XGB,2,total_Opnd,0.012654731417181514,0.016000384283098183
XGB,2,branchCount,0.02152410946767001,0.027214644979869206
LGBM,2,loc,0.10326979827391583,0.3190432087845407
LGBM,2,v(g),0.020604490091674466,0.06365580977296734
LGBM,2,ev(g),0.01639407343033183,0.05064808762760567
LGBM,2,iv(g),0.02119444666114093,0.06547843013353835
LGBM,2,n,0.007882333982002054,0.024351796637183495
LGBM,2,v,0.004101570410002821,0.012671450961801176
LGBM,2,l,0.00679918414782111,0.02100549786961035
LGBM,2,d,0.023870802375579498,0.07374680219637984
LGBM,2,i,0.012192960805574759,0.0376691095074723
LGBM,2,e,0.010090270805406606,0.031173028601480458
LGBM,2,b,0.004458872723209992,0.013775305897291526
LGBM,2,t,0.007932935967651362,0.02450812714370393
LGBM,2,lOCode,0.007311477798855475,0.022588185286433114
LGBM,2,lOComment,0.0045964393193341,0.014200306129523877
LGBM,2,lOBlank,0.007751178233213132,0.023946602169453754
LGBM,2,locCodeAndComment,0.0021323607250734104,0.006587746072758491
LGBM,2,uniq_Op,0.011140268949975206,0.034416908059562
LGBM,2,uniq_Opnd,0.009703753805683403,0.029978917390820606
LGBM,2,total_Op,0.016969153129248377,0.05242474716907709
LGBM,2,total_Opnd,0.012598854839519981,0.03892308440798388
LGBM,2,branchCount,0.01269070518069811,0.039206848180812194
MLP,2,loc,0.23973807670673308,0.18707781924595737
MLP,2,v(g),0.06171626381843413,0.0481598259474006
MLP,2,ev(g),0.01926408882919981,0.015032587970310905
MLP,2,iv(g),0.015125100632393798,0.011802759415832142
MLP,2,n,0.032110918280154055,0.02505751547003903
MLP,2,v,0.006914855305337237,0.005395955739255739
MLP,2,l,0.06352470904363022,0.04957103268436508
MLP,2,d,0.05758118098985359,0.04493304491787494
MLP,2,i,0.1699971701805439,0.1326560232409959
MLP,2,e,0.019501035210616226,0.015217487310968536
MLP,2,b,0.024148646261204602,0.01884421591408103
MLP,2,t,0.021141726573390845,0.016497788573162375
MLP,2,lOCode,0.17403242577561953,0.13580490483376126
MLP,2,lOComment,0.040062093354263605,0.031262155607896
MLP,2,lOBlank,0.034344919705434525,0.026800801812262753
MLP,2,locCodeAndComment,0.010999404934577543,0.008583303563752153
MLP,2,uniq_Op,0.032653906959609326,0.025481232634300747
MLP,2,uniq_Opnd,0.04445668443474547,0.03469144196535676
MLP,2,total_Op,0.0433069963480934,0.03379429144584613
MLP,2,total_Opnd,0.08735746231383253,0.06816874386009332
MLP,2,branchCount,0.08351084897774012,0.06516706784648754
RF,3,loc,0.035881384881216366,0.15429651186762838
RF,3,v(g),0.0126652006423891,0.05446267717072681
RF,3,ev(g),0.012941146794788016,0.05564929605178161
RF,3,iv(g),0.026620479915293257,0.11447292819854975
RF,3,n,0.007252306080930449,0.031186241417057163
RF,3,v,0.008103411429885929,0.03484614994652024
RF,3,l,0.007718398762575999,0.03319052512079417
RF,3,d,0.006846187801946107,0.02943985860434216
RF,3,i,0.012315590791960568,0.052959290927016775
RF,3,e,0.007287660833327933,0.03133827331300919
RF,3,b,0.004650816599318276,0.019999361256163115
RF,3,t,0.007202540650517816,0.030972240972267195
RF,3,lOCode,0.006728605972672324,0.02893423525184282
RF,3,lOComment,0.003987730571746699,0.01714797016685162
RF,3,lOBlank,0.016605089281417053,0.07140491828436754
RF,3,locCodeAndComment,0.003265578649949454,0.014042584938809612
RF,3,uniq_Op,0.010506150937249154,0.04517836889904919
RF,3,uniq_Opnd,0.01186287290508006,0.051012521284847435
RF,3,total_Op,0.013022795299961093,0.05600039954427827
RF,3,total_Opnd,0.005173932794620314,0.02224885648896343
RF,3,branchCount,0.011910375307361632,0.0512167902951335
