Model,Repetition_A,Repetition_B,test_position,Local_Spearman,Local_Cosine
RF,1,3,481,0.6675324675324676,0.46691255161095846
RF,1,3,482,0.835064935064935,0.8181234029936482
RF,1,3,483,0.9363636363636364,0.9842405625231347
RF,1,3,485,0.7090909090909091,0.948537580671253
RF,1,3,495,0.5363636363636364,0.9394954647272724
RF,1,3,506,0.45454545454545453,0.591718545583375
RF,1,3,514,0.39610389610389607,-0.1629597061687275
RF,1,3,518,0.6792207792207793,0.8943563922111236
RF,1,3,526,0.7662337662337663,0.7329734397553956
RF,1,3,527,0.648051948051948,0.6968602439678938
RF,1,3,530,0.7922077922077921,0.9484163089732285
RF,1,3,534,0.916883116883117,0.9386847598457845
RF,1,3,535,0.11168831168831168,0.19431265561187502
RF,1,3,544,0.287012987012987,0.3287074267245127
RF,1,3,548,0.7818181818181819,0.6970290940416535
RF,1,3,561,0.6649350649350649,0.9287868458939532
RF,1,3,567,0.8857142857142857,0.9565099989022857
RF,1,3,576,0.4688311688311688,0.4836126862621643
RF,1,3,582,0.6168831168831169,0.938064879838335
RF,1,3,583,0.37272727272727274,0.8540619809666397
RF,1,3,584,0.45714285714285713,0.7887252786966799
RF,1,3,585,0.3974025974025974,0.41015350626572017
RF,1,3,588,0.7012987012987012,0.6521687576710199
RF,1,3,590,0.8558441558441559,0.9714164919789985
RF,1,3,593,0.535064935064935,0.8317842299676148
RF,1,3,596,0.8311688311688311,0.8598332109019384
RF,1,3,602,0.5857142857142857,0.7331260505557435
RF,1,3,609,0.6467532467532467,0.7145011308524478
RF,1,3,610,0.8,0.7481701724503448
RF,1,3,613,0.4454545454545455,0.7704976860797577
RF,1,3,617,0.5753246753246753,0.9109163389118142
RF,1,3,628,0.7883116883116883,0.9174644244326949
RF,1,3,631,0.7948051948051948,0.9083112517492925
RF,1,3,637,0.7415584415584415,0.7958183854275612
RF,1,3,650,0.7493506493506493,0.5646523540390933
RF,1,3,651,0.7181818181818181,0.9088082613921699
RF,1,3,654,0.7584415584415585,0.6819798979582288
RF,1,3,660,0.6194805194805195,0.6287234122219266
RF,1,3,680,0.45454545454545453,0.5488684790123174
RF,1,3,693,0.6545454545454545,0.23963572746453735
RF,1,3,705,0.5168831168831168,0.8227153798794903
RF,1,3,710,0.8532467532467533,0.8906511554697835
RF,1,3,720,0.6870129870129871,0.7820584795073802
RF,1,3,721,0.8545454545454545,0.8988006098264254
RF,1,3,733,0.5857142857142857,0.922952266115529
RF,1,3,736,0.7207792207792209,0.8905093574915072
RF,1,3,741,0.5220779220779221,0.3370661928053939
RF,1,3,756,0.34285714285714286,0.21311152260558536
RF,1,3,757,0.6714285714285714,0.7462042054007794
RF,1,3,764,0.7311688311688312,0.8836017658049615
RF,1,3,771,0.7012987012987012,0.8225492229569983
RF,1,3,777,0.7,0.7996717090377966
RF,1,3,778,0.6701298701298701,0.4926669304464841
RF,1,3,780,0.41038961038961036,0.6878601923644843
RF,1,3,781,0.24805194805194808,0.6336924963802161
RF,1,3,782,0.725974025974026,0.7988383561296598
RF,1,3,798,0.6792207792207793,0.8527761598924071
RF,1,3,799,0.5454545454545454,0.7220115915425419
RF,1,3,816,0.6272727272727273,0.7432360321703195
RF,1,3,817,0.3649350649350649,0.13717940067103201
RF,1,3,824,0.5610389610389611,0.8285875724967755
RF,1,3,838,0.6467532467532467,0.700189382991343
RF,1,3,842,0.20909090909090908,0.5838596933043003
RF,1,3,846,0.8194805194805195,0.9010221388576384
RF,1,3,857,0.6740259740259741,0.8693962643542833
