test_index,Local_Spearman_rho,Local_Spearman_p_value,Local_Cosine_similarity
1034,0.37796447300922714,0.09115735482650579,0.06382825912518564
1043,0.277632085628596,0.22303506253383956,0.1480758800789979
1061,0.38483655433666764,0.08495698322672923,0.22624006565441562
1073,0.2817553344250603,0.21595326116216473,0.13866358539772644
1074,0.277632085628596,0.22303506253383956,0.3386681699840029
1079,-0.09737735176763751,0.674547637342113,-0.09103548335498812
1084,-0.13254139546150662,0.5668304370329019,0.09987253142771174
1106,0.06627069773075331,0.7753314342549625,0.11461307295518695
1108,0.35322498023044147,0.11625508640882316,0.22706259869444945
1110,0.14362649974350636,0.5345268058890462,0.1338661338380814
1111,0.36559472661983433,0.10314991326589752,0.2049730938613224
1113,0.4198841691066142,0.058093701226337544,0.27820191159496027
1114,0.5209037646199894,0.015467205011896877,0.331800498676112
1117,0.7284406207086923,0.0001807509889869584,0.43940701395114223
1132,0.17798690638070883,0.4401804132515833,-0.039915586694415556
1137,0.20822406422144696,0.3650637498384115,0.24904731963437113
1138,0.3305471118498878,0.14332743724819613,0.21877122476452773
1140,0.1683659925222921,0.46567236916700405,-0.07908555282719368
1142,0.1986031503630303,0.38812151735421163,0.41764178594587426
1145,0.47211198719516195,0.03070206516834879,0.22117315702661633
1146,0.47741951630522284,0.028623891679961225,0.31048340292750526
1151,0.2041008154249827,0.37484762897465573,0.38312876197541557
1168,0.34772731516848904,0.12244938621324343,0.23141184355952255
1169,-0.14568812414173848,0.5286146399208095,-0.2106907201889531
1177,0.09002426538947049,0.697963290492637,0.07101747809516457
1178,0.514718891425293,0.01696242090550377,0.44179089838768104
1182,0.36559472661983433,0.10314991326589752,0.08876466524553568
1190,0.21990660247809582,0.3381501197161933,0.4271286658049692
1197,-0.08933705725672642,0.7001656279114117,-0.008322148145177566
1204,-0.11225444717658213,0.6280655938992373,0.0359786052525963
1208,0.2288403082037685,0.31838282325402634,0.25295967361245236
1211,0.2941250808144532,0.19560686214961573,0.45762352354147756
1220,0.23983563832767324,0.29503139244575827,0.1854024458852554
1226,0.47898406852260245,0.028033001011197184,0.24086115565316124
1235,-0.09872981498663248,0.6702713550000281,0.18232984942380967
1240,-0.050041139102813714,0.8294477729179731,0.0965330841078314
1249,0.16905320065503618,0.4638269373562632,0.009191197797624957
1253,-0.3944574681950844,0.07680984002787335,-0.3044263247377506
1255,0.3216134061242152,0.1551217105649368,0.2937677306837925
1258,0.4054527983189891,0.0682310271754328,0.5347914916526455
1262,0.5511409224607277,0.009609371534702371,0.614016472562976
1268,-0.027049264379899306,0.9073467225251416,-0.11835877308543846
1271,0.5119700588943168,0.0176632667657299,0.09692749107184168
1278,0.1972287340975422,0.3914805644166533,0.5435824315624092
1284,0.25839025791176257,0.2580864453413756,0.09212650776226147
1296,0.43981320495619164,0.0460341108441644,0.3645813983863634
1309,0.4659271140004655,0.033271789420141695,0.49564292685378414
1310,0.4240074179030785,0.05542009405139961,0.10091828480518818
1317,-0.046042944893851315,0.8429043388028236,-0.11868102243827014
1320,0.32642386305342347,0.14868976374218054,0.23451605586851865
1328,0.23803352654311394,0.2987844464405289,0.20381563699010052
1334,0.33123431998263186,0.142447140990867,0.16414858119719422
1339,0.2047880235577267,0.3732067358486599,0.15022829748620314
1345,0.48035848478809057,0.027521917489064233,0.3295251163014916
1347,0.4322539154960071,0.050356188017082526,0.3913224909583197
1361,0.23708680579669705,0.30076774504320236,0.23813830328623925
1366,-0.16500051271738578,0.4747638820578829,-0.277830249256737
1378,0.6274210251953173,0.002330035078941477,0.23718036162648218
1379,-0.007559289460184544,0.9740572652609133,-0.22831449842335655
1385,0.221968226876328,0.3335255301315931,0.11064108429418387
1391,0.21028568861967914,0.36022730375771833,-0.003160344313404617
1393,0.6150512788059243,0.003003689588670822,0.4620701739794616
1417,0.2412100545931614,0.2921886408201525,0.05350609342778128
1421,0.2961867052126853,0.19234591496211875,0.21506238468069763
1424,0.16699157625680403,0.46937444278111107,0.1742557068325125
